time,latitude,longitude,depth,mag,magType,nst,gap,rms,net,id,place,horizontalError,magNst
2020-07-22T11:15:06.980Z,38.1237,-117.8507,10.8,0.6,ml,12,94.78,0.07,nn,nn00762110,"37 km SE of Mina, Nevada",,
2020-07-22T11:11:23.610Z,35.6026667,-117.455,12.09,1.07,ml,10,139,0.16,ci,ci38602234,"19km SSW of Searles Valley, CA",0.62,13
2020-07-22T11:09:18.450Z,19.19366646,-155.4759979,30.93000031,2.09,ml,54,87,0.129999995,hv,hv72055282,"1 km SSE of Pāhala, Hawaii",0.54,12
2020-07-22T11:05:46.560Z,38.7808342,-122.7198334,1.16,0.91,md,12,88,0.04,nc,nc73429466,"2km WNW of Anderson Springs, CA",0.3,3
2020-07-22T11:02:12.768Z,54.7104,-160.5043,35.46,5.1,mb,,182,1,us,us7000at0f,"69 km S of Sand Point, Alaska",3.6,375
2020-07-22T10:57:40.770Z,36.1041667,-117.8621667,4.32,0.63,ml,5,223,0.07,ci,ci38602226,"10km NE of Coso Junction, CA",0.59,3
2020-07-22T10:57:24.990Z,39.2013,-120.0912,15.9,0.9,ml,9,175.41,0.22,nn,nn00762109,"1 km NNE of Dollar Point, California",,
2020-07-22T10:44:48.580Z,19.24033356,-155.3834991,31.97999954,1.94,ml,54,143,0.129999995,hv,hv72055247,"10 km ENE of Pāhala, Hawaii",0.54,7
2020-07-22T10:34:59.530Z,33.6528333,-117.9716667,13.22,1.4,ml,27,109,0.25,ci,ci38602218,"5km SSE of Huntington Beach, CA",0.55,27
2020-07-22T10:34:18.154Z,54.8609,-158.986,20.6,2.3,ml,,,0.7,ak,ak0209djsggb,"110 km ESE of Sand Point, Alaska",,
2020-07-22T10:28:23.310Z,33.5888333,-116.8075,5.67,0.31,ml,14,76,0.15,ci,ci38602210,"13km WNW of Anza, CA",0.44,7
2020-07-22T10:27:45.313Z,54.9912,-158.4685,22.3,2.8,ml,,,0.69,ak,ak0209djr0qe,"110 km SSE of Perryville, Alaska",,
2020-07-22T10:27:39.700Z,35.6593333,-117.4553333,5.97,1.16,ml,17,164,0.22,ci,ci38602202,"13km SSW of Searles Valley, CA",0.62,13
2020-07-22T10:26:24.035Z,54.649,-160.777,16.4,2,ml,,,0.72,ak,ak0209djqr2t,"78 km SSW of Sand Point, Alaska",,
2020-07-22T10:23:08.663Z,54.6676,-160.1199,9,2.9,ml,,,0.7,ak,ak0209djq32v,"78 km SSE of Sand Point, Alaska",,
2020-07-22T10:22:52.000Z,38.2363,-117.7803,3.5,1.9,ml,22,50.63,0.15,nn,nn00762106,"33 km ESE of Mina, Nevada",,
2020-07-22T10:18:22.476Z,54.8136,-158.2757,17.6,4.5,ml,,,0.65,ak,ak0209djp1hp,"134 km SSE of Perryville, Alaska",,
2020-07-22T10:17:44.110Z,38.1448,-118.011,2.3,0.5,ml,10,155.94,0.06,nn,nn00762105,"28 km SSE of Mina, Nevada",,
2020-07-22T10:15:56.658Z,54.8657,-159.7705,4.8,2.4,ml,,,0.6,ak,ak0209djogvv,"70 km SE of Sand Point, Alaska",,
2020-07-22T10:15:10.749Z,55.0074,-160.0762,30.3,2,ml,,,0.29,ak,ak0209djoddd,"45 km SE of Sand Point, Alaska",,
2020-07-22T10:12:39.520Z,37.5218315,-118.7873306,5.48,1.47,md,14,212,0.02,nc,nc73429451,"10km WSW of Toms Place, CA",1.11,14
2020-07-22T10:08:38.832Z,55.0659,-158.6912,34.8,4.7,ml,,,0.68,ak,ak0209djmxho,Alaska Peninsula,,
2020-07-22T10:00:12.522Z,24.2947,143.0168,10,4.8,mb,,140,1.1,us,us7000aszp,"Volcano Islands, Japan region",10.7,151
2020-07-22T09:56:21.880Z,-26.1685,-70.724,38.68,4,mb,,165,0.76,us,us7000aszj,"70 km WNW of Diego de Almagro, Chile",5.8,6
2020-07-22T09:55:09.047Z,54.8481,-158.4955,25.7,3.7,ml,,,0.6,ak,ak0209djbiac,"125 km SSE of Perryville, Alaska",,
2020-07-22T09:54:32.430Z,38.1665,-117.9375,11.3,1.1,ml,16,98.8,0.13,nn,nn00762098,"29 km SSE of Mina, Nevada",,
2020-07-22T09:53:53.273Z,54.8347,-160.2612,25.5,2,ml,,,0.66,ak,ak0209djb68p,"57 km SSE of Sand Point, Alaska",,
2020-07-22T09:51:04.471Z,54.6831,-160.7489,19,1.9,ml,,,0.78,ak,ak0209djan15,"74 km SSW of Sand Point, Alaska",,
2020-07-22T09:47:50.659Z,36.35833333,-97.36566667,7.65,1.19,ml,37,98,0.22,ok,ok2020ohqn,"10 km NW of Perry, Oklahoma",,12
2020-07-22T09:47:29.583Z,55.1313,-159.0885,27.8,2.9,ml,,,0.61,ak,ak0209dj9u5v,"86 km S of Perryville, Alaska",,
2020-07-22T09:46:12.859Z,36.35266667,-97.367,7.28,0.91,ml,39,96,0.19,ok,ok2020ohql,"9 km NW of Perry, Oklahoma",,9
2020-07-22T09:39:58.890Z,38.8190002,-122.822998,2.07,0.56,md,10,76,0.02,nc,nc73429446,"7km NW of The Geysers, CA",0.27,1
2020-07-22T09:29:23.300Z,38.153,-117.8243,11.7,1.9,ml,19,73.64,0.07,nn,nn00762093,"36 km SE of Mina, Nevada",,
2020-07-22T09:10:05.820Z,55.02,-158.9188,16.72,3.3,ml,,186,0.62,us,us7000asyl,"100 km S of Perryville, Alaska",5.1,38
2020-07-22T09:08:36.490Z,38.0455,-118.7547,5.9,1.2,ml,10,158.96,0.11,nn,nn00762091,California-Nevada border region,,
2020-07-22T09:05:38.610Z,32.2475,-115.2293333,27.53,2.63,ml,18,140,0.27,ci,ci38602194,"6km WNW of Alberto Oviedo Mota, B.C., MX",0.77,26
2020-07-22T08:47:12.390Z,38.1875,-117.7563,10.3,1.8,ml,17,103.4,0.05,nn,nn00762088,Nevada,,
2020-07-22T08:32:58.670Z,37.9885,-117.8973,5.3,1.4,ml,21,64.8,0.23,nn,nn00762084,"34 km NW of Silver Peak, Nevada",,
2020-07-22T08:24:59.380Z,33.1466667,-115.9833333,3.08,1.41,ml,27,54,0.31,ci,ci38602186,"14km E of Ocotillo Wells, CA",0.51,28
2020-07-22T08:21:53.530Z,38.1865,-117.942,6,1,ml,15,78.68,0.15,nn,nn00762081,"26 km SSE of Mina, Nevada",,
2020-07-22T08:15:52.340Z,19.37483406,-155.2148285,1.600000024,2.17,ml,38,101,0.159999996,hv,hv72055112,"7 km SSE of Volcano, Hawaii",0.28,14
2020-07-22T08:13:29.497Z,55.2233,-159.3719,36.71,5.8,mb,,63,1.33,us,us7000asy0,"72 km E of Sand Point, Alaska",4.9,698
2020-07-22T08:12:12.699Z,36.4845,-98.72766667,9,1.07,ml,22,72,0.1,ok,ok2020ohnj,"17 km SE of Waynoka, Oklahoma",,7
2020-07-22T08:04:38.115Z,55.1423,-159.2602,32.82,4,mb,,141,0.69,us,us7000asxy,"81 km ESE of Sand Point, Alaska",7.4,11
2020-07-22T07:57:14.060Z,38.1653,-117.8877,8.6,0.7,ml,9,118.07,0.03,nn,nn00762074,"31 km SE of Mina, Nevada",,
2020-07-22T07:54:00.350Z,38.1845,-117.673,10.3,1.3,ml,12,134.06,0.02,nn,nn00762071,"40 km WNW of Tonopah, Nevada",,
2020-07-22T07:48:22.930Z,38.1703,-117.9112,8.2,0.9,ml,10,120.04,0.07,nn,nn00762070,"29 km SE of Mina, Nevada",,
2020-07-22T07:42:13.475Z,54.839,-160.2298,27.28,4,mb,,166,0.87,us,us7000asxh,Alaska Peninsula,7.8,16
2020-07-22T07:34:17.760Z,19.2191658,-155.3928375,31.70000076,1.96000004,md,47,158,0.129999995,hv,hv72055052,"9 km E of Pāhala, Hawaii",0.57,7
2020-07-22T07:30:42.835Z,-15.3968,166.3129,47.86,5.1,mb,,57,0.78,us,us7000asxc,"90 km WSW of Port-Olry, Vanuatu",9,120
2020-07-22T07:26:08.734Z,54.8104,-160.3428,18.1,3.2,ml,,,0.66,ak,ak0209dhyf9p,"59 km S of Sand Point, Alaska",,
2020-07-22T07:17:49.270Z,38.1762,-117.9952,2.1,1.4,ml,10,94.47,0.04,nn,nn00762065,"25 km SSE of Mina, Nevada",,
2020-07-22T07:17:32.259Z,55.1417,-158.3751,11.7,4,ml,,,0.85,ak,ak0209dhwjsr,"98 km SSE of Perryville, Alaska",,
2020-07-22T07:09:40.410Z,38.1735,-117.8483,10.7,1.3,ml,9,106.93,0.02,nn,nn00762062,"33 km SE of Mina, Nevada",,
2020-07-22T07:02:46.045Z,55.1174,-158.3266,25.5,3.7,ml,,,0.66,ak,ak0209dhtcvc,"102 km SSE of Perryville, Alaska",,
2020-07-22T07:01:19.030Z,38.1987,-117.978,3.1,1.6,ml,12,94.54,0.08,nn,nn00762060,"24 km SSE of Mina, Nevada",,
2020-07-22T06:58:54.736Z,53.9959,-161.2511,10,4.3,mb,,177,1.35,us,us7000aswj,south of Alaska,7.9,20
2020-07-22T06:54:19.720Z,38.8196678,-122.7779999,0.74,0.56,md,10,64,0.04,nc,nc73429421,"5km W of Cobb, CA",0.27,2
2020-07-22T06:53:53.611Z,55.105,-158.3232,29,4.2,ml,,,0.66,ak,ak0209dhivdi,"103 km SSE of Perryville, Alaska",,
2020-07-22T06:51:41.572Z,54.7636,-160.3316,13.8,2.8,ml,,,0.82,ak,ak0209dhif1e,"64 km S of Sand Point, Alaska",,
2020-07-22T06:40:23.147Z,54.5645,-160.7145,11,3.8,ml,,,0.96,ak,ak0209dhg0pj,"87 km S of Sand Point, Alaska",,
2020-07-22T06:33:50.692Z,55.0424,-158.6763,10,4.1,ml,,,0.69,ak,ak0209dhekx8,"101 km SSE of Perryville, Alaska",,
2020-07-22T06:30:03.555Z,55.8476,-159.4431,4.7,4,ml,,,1.14,ak,ak0209dhdu3d,"6 km SSE of Ivanof Bay, Alaska",,
2020-07-22T06:30:01.602Z,54.8879,-158.8859,17.15,4.2,mb,,156,0.5,us,us7000asvp,"114 km ESE of Sand Point, Alaska",6.9,5
2020-07-22T06:27:10.350Z,38.1735,-117.8798,12.2,2.1,ml,23,49.08,0.11,nn,nn00762056,"31 km SE of Mina, Nevada",,
2020-07-22T06:26:57.430Z,33.5143333,-116.5185,10.59,1.51,ml,26,55,0.12,ci,ci38602170,"15km ESE of Anza, CA",0.23,18
2020-07-22T06:26:09.979Z,54.7895,-158.8231,44.4,3.9,ml,,,0.58,ak,ak0209dhczmf,"123 km ESE of Sand Point, Alaska",,
2020-07-22T06:22:16.370Z,36.6736679,-121.3181686,5.44,2.45,ml,27,56,0.15,nc,nc73429416,"13km S of Tres Pinos, CA",0.34,5
2020-07-22T06:20:56.119Z,36.35533333,-97.36633333,7.53,2.05,ml,70,59,0.25,ok,ok2020ohjr,"10 km NW of Perry, Oklahoma",,26
2020-07-22T06:20:07.999Z,54.7132,-158.9076,26.21,5.7,mb,,167,1.01,us,us7000aswr,"123 km SE of Sand Point, Alaska",5.6,11
2020-07-22T06:16:18.657Z,54.9322,-159.0423,17.67,6.1,mb,,151,0.56,us,us7000asx4,"103 km ESE of Sand Point, Alaska",5.4,37
2020-07-22T06:12:44.593Z,55.0298,-158.5217,28,7.8,mww,,64,1.27,us,us7000asvb,"105 km SSE of Perryville, Alaska",2.3,60
2020-07-22T06:08:07.860Z,38.152,-117.9117,11.1,1.8,ml,17,48.44,0.15,nn,nn00762043,"31 km SSE of Mina, Nevada",,
2020-07-22T06:02:43.574Z,59.8304,-152.8649,76.5,2.1,ml,,,0.51,ak,ak0209dh7x3s,"58 km W of Anchor Point, Alaska",,
2020-07-22T05:52:34.330Z,33.4791667,-116.5413333,5.34,1.54,ml,57,50,0.2,ci,ci38602154,"15km SE of Anza, CA",0.19,26
2020-07-22T05:41:41.350Z,36.3545,-97.35316667,8.69,1.54,ml,85,35,0.2,ok,ok2020ohik,"9 km NW of Perry, Oklahoma",,35
2020-07-22T05:39:03.880Z,38.8110008,-122.8206635,3.17,1.23,md,31,58,0.02,nc,nc73429391,"7km NW of The Geysers, CA",0.2,6
2020-07-22T05:38:08.130Z,36.4469986,-121.0221634,8.36,1.37,md,9,116,0.16,nc,nc73429386,"14km SE of Pinnacles, CA",0.76,8
2020-07-22T05:34:37.009Z,36.486,-98.7295,9,0.63,ml,20,81,0.08,ok,ok2020ohid,"17 km SE of Waynoka, Oklahoma",,5
2020-07-22T05:34:29.921Z,58.3461,-133.6054,0,1.6,ml,,,1.45,ak,ak0209dgtbe6,"47 km E of Juneau, Alaska",,
2020-07-22T05:33:42.450Z,38.1808,-118.0118,7.1,0.6,ml,10,135.88,0.23,nn,nn00762041,California-Nevada border region,,
2020-07-22T05:31:45.661Z,65.0114,-151.7589,19,1.8,ml,,,0.97,ak,ak0209dgsp9y,"23 km SE of Tanana, Alaska",,
2020-07-22T05:31:09.470Z,38.8353348,-122.80867,0.79,0.56,md,10,90,0.02,nc,nc73429381,"8km WNW of Cobb, CA",0.28,1
2020-07-22T05:27:49.629Z,61.1352,-150.1165,12.8,1.6,ml,,,0.66,ak,ak0209dgrv1y,"14 km SW of Anchorage, Alaska",,
2020-07-22T05:27:28.460Z,36.45783333,-98.80983333,6.65,0.66,ml,22,149,0.08,ok,ok2020ohhx,"15 km SSE of Waynoka, Oklahoma",,9
2020-07-22T05:26:25.030Z,19.24083328,-155.3908386,33.83000183,1.78,ml,45,140,0.119999997,hv,hv72054867,"10 km ENE of Pāhala, Hawaii",0.6,3
2020-07-22T05:14:53.800Z,38.1903,-117.775,9.2,2.4,ml,23,64.5,0.1,nn,nn00762039,"36 km SE of Mina, Nevada",,
2020-07-22T05:14:21.960Z,38.8321648,-122.8180008,1.7,1.08,md,25,49,0.04,nc,nc73429371,"8km NW of The Geysers, CA",0.2,4
2020-07-22T05:14:06.120Z,38.831501,-122.817337,1.83,1.49,md,29,48,0.03,nc,nc73429366,"8km NW of The Geysers, CA",0.17,4
2020-07-22T05:09:40.040Z,19.34550095,-155.1488342,-0.07,1.83,ml,41,104,0.25999999,hv,hv72054852,"13 km S of Fern Forest, Hawaii",0.42,11
2020-07-22T05:09:37.960Z,38.2092,-117.7842,4.9,0.7,ml,10,108.76,0.02,nn,nn00762036,"34 km SE of Mina, Nevada",,
2020-07-22T05:09:00.140Z,38.1827,-117.6413,38.1,0.7,ml,12,110.03,0.13,nn,nn00762034,"38 km WNW of Tonopah, Nevada",,
2020-07-22T05:05:53.240Z,36.6846657,-121.3071671,2.1,2.55,md,39,89,0.08,nc,nc73429356,"12km S of Tres Pinos, CA",0.22,37
2020-07-22T05:04:55.970Z,19.19233322,-155.4445038,31.35000038,2.00999999,md,41,153,0.140000001,hv,hv72054847,"3 km ESE of Pāhala, Hawaii",0.63,5
2020-07-22T05:01:40.680Z,36.6855011,-121.303833,0.73,2.17,md,31,106,0.09,nc,nc73429351,"12km S of Tres Pinos, CA",0.28,26
2020-07-22T05:01:17.640Z,38.6463,-119.7605,18.2,1.5,ml,13,120.75,0.12,nn,nn00762030,Northern California,,
2020-07-22T05:01:13.070Z,38.1443,-118.0115,1.9,0.5,ml,10,155.35,0.07,nn,nn00762032,"28 km SSE of Mina, Nevada",,
2020-07-22T05:00:13.326Z,58.3259,-133.6151,10.3,1.7,ml,,,0.96,ak,ak0209dglzqz,"47 km E of Juneau, Alaska",,
2020-07-22T04:57:09.030Z,36.6791667,-121.3118333,4.83,3.3,mw,77,54,0.16,nc,nc73429346,"12km S of Tres Pinos, CA",0.14,5
2020-07-22T04:44:59.240Z,60.9933,-151.0134,18.8,1.1,ml,,,0.17,ak,ak0209dga38k,"10 km SE of Tyonek, Alaska",,
2020-07-22T04:34:24.718Z,61.4105,-149.983,38.4,1.3,ml,,,0.92,ak,ak0209dg7vev,"5 km N of Point MacKenzie, Alaska",,
2020-07-22T04:33:49.580Z,38.1468,-118.0152,2.3,0.6,ml,11,169.98,0.06,nn,nn00762027,"28 km SSE of Mina, Nevada",,
2020-07-22T04:30:19.940Z,38.1478,-117.9995,5.5,2.2,ml,19,89.57,0.17,nn,nn00762024,"28 km SSE of Mina, Nevada",,
2020-07-22T04:24:05.129Z,60.7706,-150.6986,35.7,2.1,ml,,,0.78,ak,ak0209dg5oqn,"16 km S of Point Possession, Alaska",,
2020-07-22T04:18:37.290Z,38.0328,-118.727,0.2,1.4,ml,12,135.2,0.19,nn,nn00762023,"32 km NW of Benton, California",,
2020-07-22T04:15:49.260Z,38.0352,-118.6878,26,1.6,ml,10,110.15,0.12,nn,nn00762020,"30 km NW of Benton, California",,
2020-07-22T03:54:52.650Z,38.157,-118.0352,1.5,1.2,ml,9,145.45,0.09,nn,nn00762018,"26 km SSE of Mina, Nevada",,
2020-07-22T03:53:29.300Z,38.8064995,-122.8125,2.39,0.77,md,24,59,0.02,nc,nc73429326,"6km NW of The Geysers, CA",0.22,3
2020-07-22T03:51:33.220Z,38.814167,-122.805336,2.39,1.5,md,12,53,0.01,nc,nc73429321,"6km NW of The Geysers, CA",0.33,2
2020-07-22T03:43:38.050Z,38.1917,-117.9017,2.6,1,ml,14,108.06,0.22,nn,nn00762016,"28 km SE of Mina, Nevada",,
2020-07-22T03:36:26.450Z,38.1587,-117.8693,12.8,0.5,ml,12,97.84,0.05,nn,nn00762014,"33 km SE of Mina, Nevada",,
2020-07-22T03:33:25.000Z,38.1452,-118.0415,2.3,1.1,ml,13,151.54,0.1,nn,nn00762011,"27 km SSE of Mina, Nevada",,
2020-07-22T03:30:21.660Z,38.8068352,-122.8143311,3.7,1.17,md,11,88,0.04,nc,nc73429311,"6km WNW of The Geysers, CA",0.46,3
2020-07-22T03:24:35.100Z,35.8835,-97.54833333,8.53,1.41,ml,91,29,0.16,ok,ok2020ohdw,"2 km NNE of Cedar Valley, Oklahoma",,36
2020-07-22T03:22:42.300Z,19.42333412,-155.0461731,37.04999924,1.82,ml,47,135,0.140000001,hv,hv72054752,"9 km SE of Eden Roc, Hawaii",0.69,5
2020-07-22T03:20:41.940Z,33.2228333,-116.0556667,2.5,1.7,ml,44,37,0.24,ci,ci38602058,"11km NE of Ocotillo Wells, CA",0.27,28
2020-07-22T03:20:14.310Z,38.8333321,-122.8089981,-0.81,0.56,md,6,128,0.22,nc,nc73429301,"8km W of Cobb, CA",1.57,1
2020-07-22T03:19:47.650Z,38.172,-118.0227,6,0.9,ml,10,147.89,0.02,nn,nn00762007,"25 km SSE of Mina, Nevada",,
2020-07-22T03:17:35.460Z,38.8390007,-122.7786636,2.14,0.56,md,8,113,0.01,nc,nc73429296,"5km WNW of Cobb, CA",1.01,1
2020-07-22T03:16:35.387Z,11.046,-72.3972,89.3,5.1,mww,,47,1.06,us,us7000assn,"24 km ESE of Albania, Colombia",7.9,13
2020-07-22T03:14:36.950Z,38.1482,-117.9598,5.2,1.3,ml,10,132.02,0.13,nn,nn00762005,"29 km SSE of Mina, Nevada",,
2020-07-22T03:13:50.538Z,61.5794,-149.7608,47.2,2.2,ml,,,0.62,ak,ak0209dfhzrn,"6 km SSE of Houston, Alaska",,
2020-07-22T03:13:27.180Z,38.8364983,-122.7818298,1.74,1.3,md,25,62,0.04,nc,nc73429291,"5km WNW of Cobb, CA",0.2,6
2020-07-22T03:11:17.410Z,38.1793,-117.8357,11.1,1.5,ml,19,114.98,0.06,nn,nn00762002,"33 km SE of Mina, Nevada",,
2020-07-22T03:08:10.640Z,38.8138351,-122.7969971,2.85,1.06,md,21,51,0.03,nc,nc73429281,"5km NW of The Geysers, CA",0.27,4
2020-07-22T03:07:58.120Z,38.1173,-118.0537,6.4,1.8,ml,19,65.33,0.14,nn,nn00762000,"30 km S of Mina, Nevada",,
2020-07-22T03:00:17.039Z,67.3132,-143.6401,1.2,1.9,ml,,,0.67,ak,ak0209dff4vb,"73 km N of Chalkyitsik, Alaska",,
2020-07-22T02:59:22.240Z,32.8581667,-116.0306667,5.53,1.75,ml,38,51,0.31,ci,ci38602050,"14km NNW of Ocotillo, CA",0.41,29
2020-07-22T02:56:05.810Z,38.152,-117.7458,12.2,1.3,ml,10,98.23,0.53,nn,nn00761998,"41 km SE of Mina, Nevada",,
2020-07-22T02:50:57.350Z,40.6915016,-124.9163361,0.86,2.89,md,36,287,0.27,nc,nc73429271,"56km WNW of Ferndale, CA",6.45,10
2020-07-22T02:47:54.160Z,39.4103333,-110.297,-2.64,1.83,ml,17,130,0.16,uu,uu60402957,"17 km SSE of Sunnyside, Utah",0.56,4
2020-07-22T02:34:49.570Z,38.1663,-118.0307,0.7,0.5,ml,10,108.93,0.25,nn,nn00761997,"25 km SSE of Mina, Nevada",,
2020-07-22T02:20:34.050Z,38.1663,-117.7477,8.5,1.2,ml,9,217.64,0.01,nn,nn00761996,"40 km SE of Mina, Nevada",,
2020-07-22T02:19:26.200Z,38.1788,-117.8827,13.4,1.7,ml,23,85.57,0.08,nn,nn00761992,"30 km SE of Mina, Nevada",,
2020-07-22T02:17:20.260Z,38.1925,-117.8448,5.1,1.3,ml,10,81.09,0.18,nn,nn00761990,"31 km SE of Mina, Nevada",,
