latitude,longitude,depth,mag,magType,gap,rms,net,id,place
54.6676,-160.1199,9,2.9,ml,,0.7,ak,ak0209djq32v,"78 km SSE of Sand Point, Alaska"
38.2363,-117.7803,3.5,1.9,ml,50.63,0.15,nn,nn00762106,"33 km ESE of Mina, Nevada"
54.8136,-158.2757,17.6,4.5,ml,,0.65,ak,ak0209djp1hp,"134 km SSE of Perryville, Alaska"
38.1448,-118.011,2.3,0.5,ml,155.94,0.06,nn,nn00762105,"28 km SSE of Mina, Nevada"
54.8657,-159.7705,4.8,2.4,ml,,0.6,ak,ak0209djogvv,"70 km SE of Sand Point, Alaska"
55.0074,-160.0762,30.3,2,ml,,0.29,ak,ak0209djoddd,"45 km SE of Sand Point, Alaska"
37.5218315,-118.7873306,5.48,1.47,md,212,0.02,nc,nc73429451,"10km WSW of Toms Place, CA"
55.0659,-158.6912,34.8,4.7,ml,,0.68,ak,ak0209djmxho,Alaska Peninsula
24.2947,143.0168,10,4.8,mb,140,1.1,us,us7000aszp,"Volcano Islands, Japan region"
-26.1685,-70.724,38.68,4,mb,165,0.76,us,us7000aszj,"70 km WNW of Diego de Almagro, Chile"
54.8481,-158.4955,25.7,3.7,ml,,0.6,ak,ak0209djbiac,"125 km SSE of Perryville, Alaska"
38.1665,-117.9375,11.3,1.1,ml,98.8,0.13,nn,nn00762098,"29 km SSE of Mina, Nevada"
54.8347,-160.2612,25.5,2,ml,,0.66,ak,ak0209djb68p,"57 km SSE of Sand Point, Alaska"
54.6831,-160.7489,19,1.9,ml,,0.78,ak,ak0209djan15,"74 km SSW of Sand Point, Alaska"
36.35833333,-97.36566667,7.65,1.19,ml,98,0.22,ok,ok2020ohqn,"10 km NW of Perry, Oklahoma"
55.1313,-159.0885,27.8,2.9,ml,,0.61,ak,ak0209dj9u5v,"86 km S of Perryville, Alaska"
36.35266667,-97.367,7.28,0.91,ml,96,0.19,ok,ok2020ohql,"9 km NW of Perry, Oklahoma"
38.8190002,-122.822998,2.07,0.56,md,76,0.02,nc,nc73429446,"7km NW of The Geysers, CA"
38.153,-117.8243,11.7,1.9,ml,73.64,0.07,nn,nn00762093,"36 km SE of Mina, Nevada"
55.02,-158.9188,16.72,3.3,ml,186,0.62,us,us7000asyl,"100 km S of Perryville, Alaska"
38.0455,-118.7547,5.9,1.2,ml,158.96,0.11,nn,nn00762091,California-Nevada border region
32.2475,-115.2293333,27.53,2.63,ml,140,0.27,ci,ci38602194,"6km WNW of Alberto Oviedo Mota, B.C., MX"
38.1875,-117.7563,10.3,1.8,ml,103.4,0.05,nn,nn00762088,Nevada
37.9885,-117.8973,5.3,1.4,ml,64.8,0.23,nn,nn00762084,"34 km NW of Silver Peak, Nevada"
33.1466667,-115.9833333,3.08,1.41,ml,54,0.31,ci,ci38602186,"14km E of Ocotillo Wells, CA"
38.1865,-117.942,6,1,ml,78.68,0.15,nn,nn00762081,"26 km SSE of Mina, Nevada"
19.37483406,-155.2148285,1.600000024,2.17,ml,101,0.159999996,hv,hv72055112,"7 km SSE of Volcano, Hawaii"
55.2233,-159.3719,36.71,5.8,mb,63,1.33,us,us7000asy0,"72 km E of Sand Point, Alaska"
36.4845,-98.72766667,9,1.07,ml,72,0.1,ok,ok2020ohnj,"17 km SE of Waynoka, Oklahoma"
55.1423,-159.2602,32.82,4,mb,141,0.69,us,us7000asxy,"81 km ESE of Sand Point, Alaska"
38.1653,-117.8877,8.6,0.7,ml,118.07,0.03,nn,nn00762074,"31 km SE of Mina, Nevada"
38.1845,-117.673,10.3,1.3,ml,134.06,0.02,nn,nn00762071,"40 km WNW of Tonopah, Nevada"
38.1703,-117.9112,8.2,0.9,ml,120.04,0.07,nn,nn00762070,"29 km SE of Mina, Nevada"
54.839,-160.2298,27.28,4,mb,166,0.87,us,us7000asxh,Alaska Peninsula
19.2191658,-155.3928375,31.70000076,1.96000004,md,158,0.129999995,hv,hv72055052,"9 km E of Pāhala, Hawaii"
-15.3968,166.3129,47.86,5.1,mb,57,0.78,us,us7000asxc,"90 km WSW of Port-Olry, Vanuatu"
54.8104,-160.3428,18.1,3.2,ml,,0.66,ak,ak0209dhyf9p,"59 km S of Sand Point, Alaska"
38.1762,-117.9952,2.1,1.4,ml,94.47,0.04,nn,nn00762065,"25 km SSE of Mina, Nevada"
55.1417,-158.3751,11.7,4,ml,,0.85,ak,ak0209dhwjsr,"98 km SSE of Perryville, Alaska"
38.1735,-117.8483,10.7,1.3,ml,106.93,0.02,nn,nn00762062,"33 km SE of Mina, Nevada"
55.1174,-158.3266,25.5,3.7,ml,,0.66,ak,ak0209dhtcvc,"102 km SSE of Perryville, Alaska"
38.1987,-117.978,3.1,1.6,ml,94.54,0.08,nn,nn00762060,"24 km SSE of Mina, Nevada"
53.9959,-161.2511,10,4.3,mb,177,1.35,us,us7000aswj,south of Alaska
38.8196678,-122.7779999,0.74,0.56,md,64,0.04,nc,nc73429421,"5km W of Cobb, CA"
55.105,-158.3232,29,4.2,ml,,0.66,ak,ak0209dhivdi,"103 km SSE of Perryville, Alaska"
54.7636,-160.3316,13.8,2.8,ml,,0.82,ak,ak0209dhif1e,"64 km S of Sand Point, Alaska"
54.5645,-160.7145,11,3.8,ml,,0.96,ak,ak0209dhg0pj,"87 km S of Sand Point, Alaska"
55.0424,-158.6763,10,4.1,ml,,0.69,ak,ak0209dhekx8,"101 km SSE of Perryville, Alaska"
55.8476,-159.4431,4.7,4,ml,,1.14,ak,ak0209dhdu3d,"6 km SSE of Ivanof Bay, Alaska"
54.8879,-158.8859,17.15,4.2,mb,156,0.5,us,us7000asvp,"114 km ESE of Sand Point, Alaska"
38.1735,-117.8798,12.2,2.1,ml,49.08,0.11,nn,nn00762056,"31 km SE of Mina, Nevada"
33.5143333,-116.5185,10.59,1.51,ml,55,0.12,ci,ci38602170,"15km ESE of Anza, CA"
54.7895,-158.8231,44.4,3.9,ml,,0.58,ak,ak0209dhczmf,"123 km ESE of Sand Point, Alaska"
36.6736679,-121.3181686,5.44,2.45,ml,56,0.15,nc,nc73429416,"13km S of Tres Pinos, CA"
36.35533333,-97.36633333,7.53,2.05,ml,59,0.25,ok,ok2020ohjr,"10 km NW of Perry, Oklahoma"
54.7132,-158.9076,26.21,5.7,mb,167,1.01,us,us7000aswr,"123 km SE of Sand Point, Alaska"
54.9322,-159.0423,17.67,6.1,mb,151,0.56,us,us7000asx4,"103 km ESE of Sand Point, Alaska"
55.0298,-158.5217,28,7.8,mww,64,1.27,us,us7000asvb,"105 km SSE of Perryville, Alaska"
38.152,-117.9117,11.1,1.8,ml,48.44,0.15,nn,nn00762043,"31 km SSE of Mina, Nevada"
59.8304,-152.8649,76.5,2.1,ml,,0.51,ak,ak0209dh7x3s,"58 km W of Anchor Point, Alaska"
33.4791667,-116.5413333,5.34,1.54,ml,50,0.2,ci,ci38602154,"15km SE of Anza, CA"
36.3545,-97.35316667,8.69,1.54,ml,35,0.2,ok,ok2020ohik,"9 km NW of Perry, Oklahoma"
38.8110008,-122.8206635,3.17,1.23,md,58,0.02,nc,nc73429391,"7km NW of The Geysers, CA"
36.4469986,-121.0221634,8.36,1.37,md,116,0.16,nc,nc73429386,"14km SE of Pinnacles, CA"
36.486,-98.7295,9,0.63,ml,81,0.08,ok,ok2020ohid,"17 km SE of Waynoka, Oklahoma"
58.3461,-133.6054,0,1.6,ml,,1.45,ak,ak0209dgtbe6,"47 km E of Juneau, Alaska"
38.1808,-118.0118,7.1,0.6,ml,135.88,0.23,nn,nn00762041,California-Nevada border region
65.0114,-151.7589,19,1.8,ml,,0.97,ak,ak0209dgsp9y,"23 km SE of Tanana, Alaska"
38.8353348,-122.80867,0.79,0.56,md,90,0.02,nc,nc73429381,"8km WNW of Cobb, CA"
61.1352,-150.1165,12.8,1.6,ml,,0.66,ak,ak0209dgrv1y,"14 km SW of Anchorage, Alaska"
36.45783333,-98.80983333,6.65,0.66,ml,149,0.08,ok,ok2020ohhx,"15 km SSE of Waynoka, Oklahoma"
19.24083328,-155.3908386,33.83000183,1.78,ml,140,0.119999997,hv,hv72054867,"10 km ENE of Pāhala, Hawaii"
38.1903,-117.775,9.2,2.4,ml,64.5,0.1,nn,nn00762039,"36 km SE of Mina, Nevada"
38.8321648,-122.8180008,1.7,1.08,md,49,0.04,nc,nc73429371,"8km NW of The Geysers, CA"
38.831501,-122.817337,1.83,1.49,md,48,0.03,nc,nc73429366,"8km NW of The Geysers, CA"
19.34550095,-155.1488342,-0.07,1.83,ml,104,0.25999999,hv,hv72054852,"13 km S of Fern Forest, Hawaii"
38.2092,-117.7842,4.9,0.7,ml,108.76,0.02,nn,nn00762036,"34 km SE of Mina, Nevada"
38.1827,-117.6413,38.1,0.7,ml,110.03,0.13,nn,nn00762034,"38 km WNW of Tonopah, Nevada"
36.6846657,-121.3071671,2.1,2.55,md,89,0.08,nc,nc73429356,"12km S of Tres Pinos, CA"
19.19233322,-155.4445038,31.35000038,2.00999999,md,153,0.140000001,hv,hv72054847,"3 km ESE of Pāhala, Hawaii"
36.6855011,-121.303833,0.73,2.17,md,106,0.09,nc,nc73429351,"12km S of Tres Pinos, CA"
38.6463,-119.7605,18.2,1.5,ml,120.75,0.12,nn,nn00762030,Northern California
38.1443,-118.0115,1.9,0.5,ml,155.35,0.07,nn,nn00762032,"28 km SSE of Mina, Nevada"
58.3259,-133.6151,10.3,1.7,ml,,0.96,ak,ak0209dglzqz,"47 km E of Juneau, Alaska"
36.6791667,-121.3118333,4.83,3.3,mw,54,0.16,nc,nc73429346,"12km S of Tres Pinos, CA"
60.9933,-151.0134,18.8,1.1,ml,,0.17,ak,ak0209dga38k,"10 km SE of Tyonek, Alaska"
61.4105,-149.983,38.4,1.3,ml,,0.92,ak,ak0209dg7vev,"5 km N of Point MacKenzie, Alaska"
38.1468,-118.0152,2.3,0.6,ml,169.98,0.06,nn,nn00762027,"28 km SSE of Mina, Nevada"
38.1478,-117.9995,5.5,2.2,ml,89.57,0.17,nn,nn00762024,"28 km SSE of Mina, Nevada"
60.7706,-150.6986,35.7,2.1,ml,,0.78,ak,ak0209dg5oqn,"16 km S of Point Possession, Alaska"
38.0328,-118.727,0.2,1.4,ml,135.2,0.19,nn,nn00762023,"32 km NW of Benton, California"
38.0352,-118.6878,26,1.6,ml,110.15,0.12,nn,nn00762020,"30 km NW of Benton, California"
38.157,-118.0352,1.5,1.2,ml,145.45,0.09,nn,nn00762018,"26 km SSE of Mina, Nevada"
38.8064995,-122.8125,2.39,0.77,md,59,0.02,nc,nc73429326,"6km NW of The Geysers, CA"
38.814167,-122.805336,2.39,1.5,md,53,0.01,nc,nc73429321,"6km NW of The Geysers, CA"
38.1917,-117.9017,2.6,1,ml,108.06,0.22,nn,nn00762016,"28 km SE of Mina, Nevada"
38.1587,-117.8693,12.8,0.5,ml,97.84,0.05,nn,nn00762014,"33 km SE of Mina, Nevada"
38.1452,-118.0415,2.3,1.1,ml,151.54,0.1,nn,nn00762011,"27 km SSE of Mina, Nevada"
38.8068352,-122.8143311,3.7,1.17,md,88,0.04,nc,nc73429311,"6km WNW of The Geysers, CA"
35.8835,-97.54833333,8.53,1.41,ml,29,0.16,ok,ok2020ohdw,"2 km NNE of Cedar Valley, Oklahoma"
19.42333412,-155.0461731,37.04999924,1.82,ml,135,0.140000001,hv,hv72054752,"9 km SE of Eden Roc, Hawaii"
33.2228333,-116.0556667,2.5,1.7,ml,37,0.24,ci,ci38602058,"11km NE of Ocotillo Wells, CA"
38.8333321,-122.8089981,-0.81,0.56,md,128,0.22,nc,nc73429301,"8km W of Cobb, CA"
38.172,-118.0227,6,0.9,ml,147.89,0.02,nn,nn00762007,"25 km SSE of Mina, Nevada"
38.8390007,-122.7786636,2.14,0.56,md,113,0.01,nc,nc73429296,"5km WNW of Cobb, CA"
11.046,-72.3972,89.3,5.1,mww,47,1.06,us,us7000assn,"24 km ESE of Albania, Colombia"
38.1482,-117.9598,5.2,1.3,ml,132.02,0.13,nn,nn00762005,"29 km SSE of Mina, Nevada"
61.5794,-149.7608,47.2,2.2,ml,,0.62,ak,ak0209dfhzrn,"6 km SSE of Houston, Alaska"
38.8364983,-122.7818298,1.74,1.3,md,62,0.04,nc,nc73429291,"5km WNW of Cobb, CA"
38.1793,-117.8357,11.1,1.5,ml,114.98,0.06,nn,nn00762002,"33 km SE of Mina, Nevada"
38.8138351,-122.7969971,2.85,1.06,md,51,0.03,nc,nc73429281,"5km NW of The Geysers, CA"
38.1173,-118.0537,6.4,1.8,ml,65.33,0.14,nn,nn00762000,"30 km S of Mina, Nevada"
67.3132,-143.6401,1.2,1.9,ml,,0.67,ak,ak0209dff4vb,"73 km N of Chalkyitsik, Alaska"
32.8581667,-116.0306667,5.53,1.75,ml,51,0.31,ci,ci38602050,"14km NNW of Ocotillo, CA"
38.152,-117.7458,12.2,1.3,ml,98.23,0.53,nn,nn00761998,"41 km SE of Mina, Nevada"
40.6915016,-124.9163361,0.86,2.89,md,287,0.27,nc,nc73429271,"56km WNW of Ferndale, CA"
39.4103333,-110.297,-2.64,1.83,ml,130,0.16,uu,uu60402957,"17 km SSE of Sunnyside, Utah"
38.1663,-118.0307,0.7,0.5,ml,108.93,0.25,nn,nn00761997,"25 km SSE of Mina, Nevada"
38.1663,-117.7477,8.5,1.2,ml,217.64,0.01,nn,nn00761996,"40 km SE of Mina, Nevada"
38.1788,-117.8827,13.4,1.7,ml,85.57,0.08,nn,nn00761992,"30 km SE of Mina, Nevada"
38.1925,-117.8448,5.1,1.3,ml,81.09,0.18,nn,nn00761990,"31 km SE of Mina, Nevada"
63.322,-149.6419,65.4,1.9,ml,,0.61,ak,ak0209devwfx,"35 km WSW of Cantwell, Alaska"
38.1687,-117.8955,13,0.9,ml,190.83,0.02,nn,nn00761989,"30 km SE of Mina, Nevada"
35.7388333,-117.5441667,10.78,1.29,ml,77,0.16,ci,ci38601986,"13km WSW of Searles Valley, CA"
38.157,-117.979,9,1,ml,93.62,0.07,nn,nn00761987,Nevada
-8.0124,147.8844,91.78,4.2,mb,122,0.44,us,us7000ass7,"91 km NNW of Popondetta, Papua New Guinea"
35.8861667,-117.6856667,3.22,1.48,ml,61,0.15,ci,ci38601978,"21km ESE of Little Lake, CA"
38.1513,-118.0483,0.8,1.6,ml,125.17,0.08,nn,nn00761985,"27 km S of Mina, Nevada"
63.2281,-150.4681,105.5,1.3,ml,,0.56,ak,ak0209dejhy1,"71 km ESE of Denali National Park, Alaska"
34.5356667,-119.9068333,5.93,1.46,ml,137,0.2,ci,ci38601954,"13km NNW of Goleta, CA"
38.4425,-111.8743333,6.04,1.28,ml,155,0.18,uu,uu60402952,"7 km S of Koosharem, Utah"
38.1692,-117.9872,0.1,1.1,ml,102.47,0.04,nn,nn00761980,"26 km SSE of Mina, Nevada"
38.7953339,-122.8171692,3.88,0.32,md,109,0.01,nc,nc73429246,"6km WNW of The Geysers, CA"
51.8859,176.324,110,3.7,ml,179,0.56,us,us7000ass6,"238 km ESE of Attu Station, Alaska"
35.815,-117.6436667,6.71,1.36,ml,114,0.13,ci,ci38601930,"22km N of Ridgecrest, CA"
44.3518,-115.183,10,2.6,ml,98,0.63,us,us7000asri,"24 km NW of Stanley, Idaho"
66.318,-157.1992,7.3,0.7,ml,,0.4,ak,ak0209de8nw4,"63 km S of Shungnak, Alaska"
61.4886,-149.8874,29.9,1,ml,,0.5,ak,ak0209ddywmo,"5 km SE of Big Lake, Alaska"
38.194,-117.8227,4,1.5,ml,68.96,0.1,nn,nn00761975,"33 km SE of Mina, Nevada"
38.1737,-117.8605,5.1,1,ml,98.11,0.11,nn,nn00761974,"32 km SE of Mina, Nevada"
38.8348351,-122.8071671,2.25,0.56,md,59,0.01,nc,nc73429231,"7km W of Cobb, CA"
36.6851654,-121.309166,0.92,2.45,md,106,0.1,nc,nc73429226,"12km S of Tres Pinos, CA"
36.45083333,-97.036,6.63,1.73,ml,42,0.26,ok,ok2020ogyh,"12 km E of Red Rock, Oklahoma"
39.4128333,-110.2961667,-2.16,1.68,md,201,0.13,uu,uu60402947,"17 km SSE of Sunnyside, Utah"
53.86883333,-166.7771667,8.21,-0.33,ml,115,0.17,av,av91000013,"15 km W of Dutch Harbor, Alaska"
38.1275,-118.0857,4.3,1.7,ml,117.98,0.11,nn,nn00761970,"29 km S of Mina, Nevada"
38.795166,-122.8144989,3.62,0.36,md,97,0.02,nc,nc73429216,"5km WNW of The Geysers, CA"
38.1577,-117.8678,8.4,1.1,ml,78.07,0.11,nn,nn00761968,"33 km SE of Mina, Nevada"
34.0315,-117.0028333,19.9,0.93,ml,172,0.23,ci,ci38601874,"4km E of Yucaipa, CA"
38.8006667,-122.7705,0,0.96,md,69,0.05,nc,nc73429211,"3km NNW of The Geysers, CA"
60.9332,-151.2038,55.5,1,ml,,1.19,ak,ak0209ddo7el,"15 km SSW of Tyonek, Alaska"
53.86916667,-166.764,5.17,-0.84,ml,116,0.21,av,av91000023,"14 km W of Dutch Harbor, Alaska"
38.8131667,-122.8066667,1.92,1.37,md,43,0.05,nc,nc73429206,"6km NW of The Geysers, CA"
53.85816667,-166.7853333,6.25,-0.77,ml,101,0.23,av,av91000018,"16 km WSW of Dutch Harbor, Alaska"
40.7428333,-112.0708333,3.5,0.49,md,55,0.14,uu,uu60402942,"4 km NE of Magna, Utah"
59.8666,-152.821,91.1,1.8,ml,,0.85,ak,ak0209c44n4u,"56 km W of Anchor Point, Alaska"
33.4785,-116.8008333,3.94,1.2,ml,32,0.22,ci,ci38601850,"7km ENE of Aguanga, CA"
-22.3648,175.8588,10,4.8,mb,129,0.67,us,us7000asqi,south of the Fiji Islands
44.99316667,-123.842,43.98,3.17,ml,116,0.2,uw,uw61661241,"3 km ESE of Rose Lodge, Oregon"
33.1958333,-116.734,5.02,0.76,ml,39,0.19,ci,ci38601826,"6km SSE of Lake Henshaw, CA"
19.352,-155.0975,7.15,3.04,ml,147,0.12,hv,hv72054482,"13 km SSE of Fern Forest, Hawaii"
66.2913,-157.3763,0,1,ml,,0.88,ak,ak0209c3y3hd,"67 km S of Shungnak, Alaska"
38.2213,-117.7565,0.1,1.9,ml,64.58,0.17,nn,nn00761964,"36 km ESE of Mina, Nevada"
35.0206667,-117.6621667,0.28,1.74,ml,62,0.31,ci,ci38601794,"3km NNW of Boron, CA"
38.8051667,-122.8121667,1.93,0.2,md,61,0.03,nc,nc73429196,"6km WNW of The Geysers, CA"
66.2987,-157.2291,0,1.1,ml,,0.45,ak,ak0209c3w2g9,"65 km S of Shungnak, Alaska"
33.2315,-116.7363333,10.82,1.15,ml,31,0.2,ci,ci38601778,"3km ESE of Lake Henshaw, CA"
35.641,-117.4123333,4.67,0.65,ml,178,0.11,ci,ci38601762,"14km SSW of Trona, CA"
35.9036667,-117.6955,2.55,1.04,ml,77,0.11,ci,ci38601746,"19km E of Little Lake, CA"
38.1915,-117.892,3.1,1.1,ml,133.19,0.11,nn,nn00761962,"29 km SE of Mina, Nevada"
38.8181667,-122.7635,1.92,0.05,md,86,0.02,nc,nc73429186,"4km W of Cobb, CA"
19.21983337,-155.4101715,31.62999916,2.16,ml,142,0.140000001,hv,hv72054432,"7 km ENE of PÄhala, Hawaii"
-53.7001,140.1165,10,4.7,mb,68,1,us,us7000aspp,west of Macquarie Island
37.3405,-118.6776667,1.22,1.44,md,187,0.07,nc,nc73429181,"11km SW of Round Valley, CA"
38.8235016,-122.8089981,2.59,1.12,md,37,0.04,nc,nc73429176,"7km NW of The Geysers, CA"
33.222,-116.7411667,11.65,1.3,ml,26,0.17,ci,ci38601682,"3km SE of Lake Henshaw, CA"
62.3927,-148.1276,40.6,1.1,ml,,1,ak,ak0209c3aj5p,"68 km NNE of Chickaloon, Alaska"
38.7871666,-122.7681656,2.13,0.56,md,100,0.03,nc,nc73429171,"2km NW of The Geysers, CA"
38.7961655,-122.8146667,3.22,0.83,md,71,0.03,nc,nc73429166,"6km WNW of The Geysers, CA"
38.2058,-117.7288,9.1,1.4,ml,90.53,0.05,nn,nn00761957,"39 km ESE of Mina, Nevada"
6.9574,-72.8515,180.98,4.6,mb,61,1.38,us,us7000asp1,northern Colombia
62.1517,-152.1659,101.5,1.3,ml,,0.49,ak,ak0209c2tsgc,"44 km WNW of Skwentna, Alaska"
64.597,-160.3761,4,1.6,ml,,0.94,ak,ak0209c2sxa5,"47 km NE of Shaktoolik, Alaska"
37.5345,-117.7523,6,1.7,ml,100.63,0.11,nn,nn00761952,"26 km SSW of Silver Peak, Nevada"
38.1717,-117.9782,2.8,0.8,ml,148,0.05,nn,nn00761950,"26 km SSE of Mina, Nevada"
59.7379,-153.1323,107.6,1.7,ml,,0.68,ak,ak0209c2onwb,"55 km E of Pedro Bay, Alaska"
-21.3892,-68.7669,109.12,4.3,mwr,51,0.92,us,us7000asmw,"119 km N of Calama, Chile"
38.1402,-117.91,12.3,1.3,ml,104.95,0.04,nn,nn00761941,"32 km SSE of Mina, Nevada"
37.6316667,-118.9281667,5.58,0.63,md,67,0.05,nc,nc73429146,"4km E of Mammoth Lakes, CA"
-20.8067,-178.6179,604.96,6,mww,39,0.98,us,us7000asms,Fiji region
38.1723,-117.9578,2.9,1,ml,84.16,0.02,nn,nn00761939,"27 km SSE of Mina, Nevada"
